description,dpl_tag
Citibank account maintenance fee – November,DPL005
Carbon offset purchase – Nov 2026,DPL011
Capital grant amortisation – Oct 2026,DPL024
General administration overhead – Finance – 2025,DPL046
R&D project costs – Horizon – October 2026,DPL056
IAS 29 hyperinflation adjustment – DKK functional currency – 2026,DPL026
Pension scheme contribution – defined benefit – Jul,DPL051
Printing and stationery – Procurement – Dec 2023,DPL054
Technology licence fee – Rights Management Co – April,DPL060
IR35 worker engagement cost – Dec 2023,DPL073
Outsourced HR services – September 2025,DPL049
Payroll run – May 2024 – HR,DPL068
Vehicle repair costs – July,DPL047
Franchise intangible impairment charge – 2024,DPL028
Technology licence fee – IP Licensor Inc – Jul,DPL060
Rental property revaluation – Reading HQ – 2023,DPL020
Sale of IT equipment – gain/(loss) – PO-68905,DPL022
AP-99640 – Freight charges – FedEx,DPL016
Non-recoverable VAT charge – Nov 2026,DPL036
Sporting event hospitality – July 2023,DPL041
Operating income – reimbursement received – JNL-51717,DPL045
Restructuring advisory fees – Deloitte – 2026,DPL059
Interest INCOME on inter-company balance – Aug 2023,DPL075
IP legal costs – Herbert Smith Freehills – May 2024,DPL038
Political expenditure – Green Party – 2025,DPL053
Capital grant amortisation – Oct 2025,DPL024
IR35 worker engagement cost – April 2025,DPL073
PV unwinding – legal claims provision – 2023,DPL067
Grant Thornton management consulting – Nexus project,DPL009
Tax provision adjustment – August 2023,DPL031
Residual finance COSTS – September 2023,DPL057
IT infrastructure costs – May 2024,DPL037
JNL-66471 – IT support contract – Oracle,DPL037
Pandemic business interruption grant – 2024,DPL072
Hyperinflationary economy restatement – JV Entity – 2025,DPL026
Janitorial services – Aug 2023,DPL008
Accretion INCOME – finance receivable – 2026,DPL058
Current account charges – Metro Bank – December,DPL005
Monthly payroll – Mar 2026,DPL068
Restart grant received – May 2023,DPL072
Deep clean – Reading HQ – August,DPL008
JNL-92011 – QBE – property insurance,DPL033
IAS 36 annual impairment test charge – Holdco Ltd – 2025,DPL028
Building repairs and maintenance – Jul 2024,DPL047
Listed equity dividend received – Oct 2025,DPL030
Amortisation of debt issuance COSTS – 2024,DPL057
Dairy herd biological asset revaluation – January 2025,DPL019
Marketing agency retainer – Jan,DPL001
VoIP telephony costs – Jan 2023,DPL064
Intangible asset disposal gain – AP-75125,DPL021
IAS 41 bearer plant fair value – November 2025,DPL019
Residual finance INCOME credited – Jun 2025,DPL058
INV-74179 – BDO audit services FY2023,DPL003
Postage and courier costs – Mar 2023,DPL054
DC pension employer contribution – R&D – June,DPL052
Lift maintenance contract – 2026,DPL047
Music royalty costs – September 2024,DPL060
Mark-to-market LOSS – currency option – Aug,DPL014
Hotel accommodation – client visit – February,DPL065
"Write-off of irrecoverable debt – JPY 2,227",DPL004
Business rates – Birmingham site – Q3 2026,DPL055
Investment write-down – Subsidiary A shares – 2023,DPL027
Poultry stock fair value adjustment – Nov,DPL019
Mobile phone contract costs – October 2025,DPL064
Overseas withholding tax – Sep 2024,DPL031
Interest on term deposit – Citibank – January,DPL006
Sales commission – external agent – November 2024,DPL012
Subscription revenue – Nov 2025,DPL066
Office rent – London HQ – Apr 2024,DPL055
Corporate social responsibility donation – February 2024,DPL007
INV-31397 – Digital marketing services,DPL001
Miscellaneous other cost – Redwood Partners – July,DPL074
Increase in dilapidation provision – London HQ,DPL018
Gain on disposal of Asia Pacific Holdco – discontinued operations – 2023,DPL017
Non-recoverable VAT charge – Mar 2025,DPL036
Security patrol costs – Cardiff branch – June,DPL061
Warehouse impairment charge – Sheffield site – 2026,DPL029
Treasury deposit interest – April 2026,DPL006
Late payment penalty – AP-27792,DPL015
Non-bank interest CHARGE – Northern Division – 2024,DPL076
Deep clean – Leeds depot – Mar,DPL008
Non-bank interest RECEIVABLE – NewCo Ltd – 2023,DPL075
Defined benefit pension scheme – service cost – Mar 2025,DPL051
Interest charged on Wells Fargo overdraft – Jul,DPL035
Spin-off distribution of JV Entity shares – 2025,DPL040
Sale of IT equipment – gain/(loss) – INV-47591,DPL022
Scope 1 and 2 emissions audit costs – 2024,DPL011
Restructuring advisory fees – Deloitte – 2023,DPL059
Off payroll revenue – PO-26416 – 2026,DPL070
INV-49305 – R&D materials and testing,DPL056
Share option expense – IFRS 2 charge – July 2024,DPL062
SRA late filing penalty – 2026,DPL015
IR35 worker engagement cost – February 2026,DPL073
IFRS 3 day-one bargain purchase gain – NewCo Ltd – 2026,DPL023
AP-27108 – Government grant received – Export Development Grant,DPL024
Non-trading gain before tax – Jul 2026,DPL044
Monthly depreciation charge – plant and machinery – Nov 2025,DPL010
Taxi and car hire – Nov 2025,DPL065
Payroll run – Oct 2026 – Operations,DPL068
Deferred tax credit on temporary differences – 2024,DPL031
Cattle herd fair value uplift – 2026,DPL019
Off payroll revenue – INV-38882 – 2024,DPL070
Inter-company management charge – EXP-56053,DPL034
Shared services cost recharge – Finance – 2023,DPL034
Business insurance – Beazley – Nov 2025,DPL033
IP legal costs – Slaughter and May – Mar 2026,DPL038
Expenditure transferred to Vertex project balance sheet,DPL042
IAS 36 goodwill impairment – LatAm Subsidiary – 2025,DPL028
Occupational health service – April 2024,DPL025
Interest RECEIVED on shareholder loan – April 2024,DPL075
Non-cash dividend – Subsidiary A shares – 2026,DPL040
Employee redundancy payments – September 2025,DPL059
Mark-to-market GAIN – FX forward contract – Apr,DPL013
Cumulative price index restatement – NewCo Ltd – 2023,DPL026
Occupational health service – Apr 2023,DPL025
Discount unwind on onerous contract provision – 2025,DPL067
Warehouse lease payment – July 2026,DPL055
After-tax loss on sale of Northern Division – 2026,DPL017
Residual finance COSTS – December 2026,DPL057
Post-tax gain on sale of Eastern Region Ltd division – 2025,DPL017
Outsourced HR services – February 2025,DPL049
Contaminated land remediation – Reading HQ – 2025,DPL011
CCTV maintenance and monitoring – Glasgow office,DPL061
Equity investment write-down – US Operations Inc – Oct,DPL027
IAS 29 indexation gain – July 2024,DPL026
One-off non-operating gain – June 2025,DPL044
Marketing agency retainer – Mar,DPL001
Donation to Red Cross – 2023,DPL007
Loss on disposal of plant and machinery – September 2025,DPL022
Other finance INCOME – Sep 2024,DPL058
Dairy herd biological asset revaluation – Sep 2023,DPL019
Currency translation difference – Aug 2024,DPL043
Administration and operational costs – Marketing – JNL-14729,DPL046
Bad debt write-off – customer AP-93890,DPL004
Donation to Conservative Party – disclosed in accounts – 2023,DPL053
Sales revenue – October 2026,DPL066
One-off non-operating gain – May 2026,DPL044
Unallocated other costs – December 2025,DPL074
Employee benefits expense – Jun 2024,DPL048
One-off non-operating gain – Jan 2025,DPL044
Non-recoverable VAT charge – Jul 2026,DPL036
PV unwinding – dilapidation provision – 2025,DPL067
Plant and machinery impairment charge – 2026,DPL029
Coronavirus business interruption grant – 2023,DPL072
Business insurance – QBE – December 2026,DPL033
JP Morgan current account interest income – January,DPL006
Capital grant amortisation – June 2025,DPL024
Royalty payment to Creative Rights Ltd – February 2023,DPL060
Printing and stationery – Procurement – November 2026,DPL054
Business insurance – Zurich – Apr 2024,DPL033
CJRS claim – R&D – June 2026,DPL071
IFRS 3 reassessment gain – Northern Division – 2025,DPL023
Non-cash asset declared for distribution – board resolution – 2026,DPL040
Employee redundancy payments – July 2024,DPL059
Fundraising event costs – British Heart Foundation – April,DPL007
Currency translation loss on EUR balances – August,DPL043
Property fund valuation gain – November 2025,DPL020
"Debt interest expense – CHF 76,681 facility – 2025",DPL035
Technical consulting services – Dell Technologies implementation,DPL009
"Import freight costs – USD 85,138",DPL016
PR agency fees – Dec 2023,DPL001
Enterprise zone grant income – 2024,DPL024
Revenue cost reclassified to capital – INV-28891,DPL042
Warehouse storage charges – Jul 2026,DPL069
General sundry expense – 2024,DPL074
Investment property uplift – AP-97745 – 2025,DPL020
Share option expense – IFRS 2 charge – January 2026,DPL062
Premises and operational admin expense – 2026,DPL046
Bargain purchase gain on Southern Operations acquisition – 2025,DPL023
Sterling Group – Strategy consulting services – Jun 2025,DPL009
Non-trading gain before tax – Dec 2026,DPL044
Technical consulting services – IBM implementation,DPL009
Software development costs amortised – Apr 2025,DPL002
Other finance INCOME – June 2025,DPL058
Related party interest PAYABLE – 2023,DPL076
INV-22168 – KPMG audit services FY2025,DPL003
Distribution centre costs – January 2026,DPL069
Distribution centre costs – Nov 2023,DPL069
Tax provision adjustment – Apr 2023,DPL031
Development cost capitalisation – Nov,DPL042
PO-12936 – Third party storage – Wincanton,DPL069
Derivative asset fair value UPLIFT – July 2023,DPL013
Overdraft interest charge – Wells Fargo – May 2025,DPL035
Non-operating gain on compulsory purchase – 2026,DPL044
Redundancy costs – IT – 2025,DPL059
Off payroll worker fees – IR35 – July 2025,DPL070
Leasehold improvements depreciation charge – July,DPL010
Intercompany loan written off – LatAm Subsidiary – 2026,DPL039
Employee matched giving – WWF,DPL007
Printing and stationery – R&D – Sep 2023,DPL054
Political donation – Green Party – 2025,DPL053
Amortisation of acquired technology – Eastern Region Ltd – 2025,DPL002
Staff entertainment – Apr 2025,DPL041
R&D subcontractor costs – Pinewood Ltd,DPL056
PR agency fees – Jan 2024,DPL001
PV unwinding – environmental remediation provision – 2025,DPL067
EXP-80643 – QBE – property insurance,DPL033
Professional body membership – Oct 2026,DPL063
Fundraising event costs – Oxfam – Jan,DPL007
Financial liability FVTPL fair value INCREASE – 2026,DPL014
Overseas withholding tax – Apr 2024,DPL031
Unrealised LOSS on total return swap – Sep 2026,DPL014
Third party sales commission – JNL-61054,DPL012
Redundancy costs – Procurement – 2023,DPL059
Operational overhead – administration and facilities – 2024,DPL046
Software impairment loss – Microsoft Azure – 2024,DPL028
Investment income – minority shareholding – March,DPL030
Loss on disposal of plant and machinery – Jan 2025,DPL022
Financial asset FVTPL fair value INCREASE – 2026,DPL013
Defined benefit pension scheme – service cost – Jul 2026,DPL051
Finance lease RECEIVABLE interest INCOME – November 2025,DPL058
Annual subscription – PitchBook – 2024,DPL063
"Debt interest expense – CHF 2,294 facility – 2026",DPL035
Outsourced HR services – February 2024,DPL049
Loss on disposal of plant and machinery – Dec 2026,DPL022
Occupational health service – May 2026,DPL025
Intangible asset disposal gain – INV-26728,DPL021
Hardware maintenance – Procurement servers,DPL037
Site rationalisation costs – Cardiff branch – 2024,DPL059
Preference share dividend treated as finance COST – 2026,DPL057
IP royalty – EXP-42257 – 2026,DPL060
Environmental impact assessment – ABC Ltd – 2023,DPL011
Tax provision adjustment – Jun 2024,DPL031
Listed equity dividend received – Jan 2024,DPL030
Excess of fair value over purchase consideration – 2023,DPL023
Non-bank interest CHARGE – JV Entity – 2026,DPL076
Broker commission expense – Jun,DPL012
IP legal costs – Slaughter and May – Dec 2024,DPL038
VAT compliance services – November 2023,DPL003
Deemed employment income – IR35 – January 2023,DPL070
Finance INCOME – vendor loan receivable – 2026,DPL058
Profit on disposal of motor vehicle – REF-24395,DPL022
Inventory increase/(decrease) adjustment – 2026,DPL032
Distribution centre costs – November 2025,DPL069
Profit on disposal of motor vehicle – PO-84336,DPL022
Audit planning fees – RSM – May,DPL003
Deutsche Bank account maintenance fee – Oct,DPL005
Business transformation consulting – October 2026,DPL009
IAS 29 indexation gain – May 2026,DPL026
Pension scheme contribution – defined benefit – Jun,DPL051
Unrealised LOSS on commodity futures – Aug 2024,DPL014
Dairy herd biological asset revaluation – April 2023,DPL019
Loss on disposal of plant and machinery – February 2024,DPL022
Service fee income – Vanguard Ltd – Jan,DPL045
Investment portfolio FVTPL LOSS – Nov 2025,DPL014
FX loss on USD settlement – AP REF-59931,DPL043
Employee benefits expense – October 2026,DPL048
Unallocated expense – AP-93637,DPL074
Amortisation – Mercury software – September 2025,DPL002
Service fee income – Apex Group – January,DPL045
Finance lease RECEIVABLE interest INCOME – June 2023,DPL058
REF-93323 – Digital marketing services,DPL001
Realised fair value GAIN on FX forward contract – 2023,DPL013
Machinery depreciation – Finance – Dec,DPL010
Capitalised internal engineering costs – Apr,DPL050
Finance transformation advisory – REF-55371,DPL009
Restart grant received – July 2026,DPL072
Acquired intangible impairment – European Division – 2024,DPL028
Business entertainment – restaurant – AP-59557,DPL041
Outsourced HR services – Sep 2023,DPL049
Business entertainment – restaurant – REF-33363,DPL041
Late payment penalty – AP-57194,DPL015
EXP-18415 – Service income – Pinnacle Group,DPL066
IAS 40 annual fair value update – Sheffield site – 2023,DPL020
Staff salaries – Mar 2025,DPL068
Bad debt write-off – customer JNL-66335,DPL004
RSU vesting expense – Feb 2026,DPL062
Data storage costs – Workday – April,DPL037
Group pension scheme payments – Jun 2025,DPL052
Other charges – unspecified – PO-45076,DPL074
Air freight charges – AP-82901 – November,DPL016
Accretion of discount – decommissioning provision – 2023,DPL067
IAS 41 bearer plant fair value – Oct 2023,DPL019
Current account charges – Deutsche Bank – September,DPL005
Foreign currency conversion fee – Nationwide,DPL005
Hedging instrument GAIN – total return swap – 2026,DPL013
FX loss on USD settlement – AP JNL-13091,DPL043
Depreciation – office furniture and equipment – Jul 2023,DPL010
Dividend income from NewCo Ltd – January 2026,DPL030
Air freight charges – EXP-34689 – October,DPL016
Internal resources capitalised – Aurora – Jan 2024,DPL050
Finance transformation advisory – AP-96490,DPL009
Finance CHARGE – lease liability – Aug 2026,DPL057
Tax provision adjustment – Oct 2023,DPL031
IR35 deemed employee cost – PO-75400 – 2025,DPL073
Tax provision adjustment – February 2024,DPL031
REF-37283 – Beazley – property insurance,DPL033
Group pension scheme payments – January 2025,DPL052
EXP-27840 – Crowe audit services FY2025,DPL003
Post-tax gain on sale of LatAm Subsidiary division – 2026,DPL017
Service fee income – Acme Corp – September,DPL045
Environmental audit costs – Elmwood Associates – 2024,DPL011
Transfer pricing report – Grant Thornton,DPL003
Loan receivable write-off – JNL-39644,DPL039
Occupational health service – Dec 2024,DPL025
Off payroll contractor cost – INV-42910,DPL073
Net gain on derecognition of discontinued business – 2024,DPL017
Related party interest RECEIVABLE – 2025,DPL075
Property impairment charge – Glasgow office – 2023,DPL029
Waste management and recycling costs – Liverpool depot – 2023,DPL011
Sale of IT equipment – gain/(loss) – AP-82863,DPL022
DB scheme deficit contribution – Nov 2026,DPL051
INV-62645 – Service income – Apex Group,DPL066
Off payroll working costs – IT – October,DPL073
Deutsche Bank account maintenance fee – December,DPL005
Project completion revenue – Orion – 2026,DPL066
Export grant credit – KTP award,DPL024
Listed equity dividend received – August 2026,DPL030
Revenue cost reclassified to capital – INV-38476,DPL042
Realised foreign exchange loss – AP-22955,DPL043
Derivative asset fair value UPLIFT – November 2023,DPL013
Warehouse storage charges – Dec 2024,DPL069
Amortisation charge – AP-19809 – intangible assets – 2025,DPL002
Asset impairment charge – Operations equipment – 2023,DPL029
R&D staff costs – Procurement – Nov,DPL056
Office closure costs – Sheffield site – 2023,DPL059
Negative mark-to-market movement – cross-currency swap – 2023,DPL014
DC pension employer contribution – R&D – Dec,DPL052
VoIP telephony costs – July 2024,DPL064
CCTV maintenance and monitoring – Nottingham office,DPL061
IAS 29 hyperinflation adjustment – USD functional currency – 2026,DPL026
Non-bank interest CHARGE payable – Mar 2024,DPL076
Policy foundation donation – 2025,DPL053
Mark-to-market GAIN – cross-currency swap – Oct,DPL013
Marketing agency retainer – March,DPL001
Waste disposal and environmental fees – Sep 2024,DPL011
Rail travel – Procurement staff – Nov,DPL065
Amortisation charge – brand name – 2023,DPL002
PO-49366 – KPMG audit services FY2026,DPL003
Leasehold rent – Reading HQ – 2024,DPL055
Warranty provision utilisation – January 2025,DPL018
Rail travel – IT staff – Nov,DPL065
Software development costs amortised – Jul 2024,DPL002
Non-bank finance CHARGE – October 2025,DPL057
Lakeside Corp – managed services contract – November,DPL049
Site rationalisation costs – Birmingham site – 2026,DPL059
Listed equity dividend received – Sep 2023,DPL030
Licence fee for use of proprietary algorithm – 2025,DPL060
Employee share plan charge – 2025,DPL062
Interest received on cash deposits – 2025,DPL006
Google Ads campaign – Q1 2024 – R&D,DPL001
Intangible asset disposal gain – REF-99108,DPL021
Gain on disposal of Holdco Ltd – discontinued operations – 2026,DPL017
Share award charge – Operations – 2024,DPL062
Subsistence expenses – Sales – February,DPL065
Postage and courier costs – April 2025,DPL054
Non-recoverable VAT charge – Mar 2026,DPL036
Restructuring advisory fees – PwC – 2024,DPL059
Software licence renewal – Finance – 2024,DPL037
Third party sales commission – PO-28667,DPL012
Contract drafting fees – Slaughter and May – Jan,DPL038
Salaries and wages expense – Procurement,DPL068
Investment property revaluation gain – Aug 2024,DPL020
Profit on disposal of motor vehicle – AP-98040,DPL022
Warranty provision utilisation – April 2026,DPL018
Cold storage facility costs – October,DPL069
Distribution centre costs – Mar 2025,DPL069
Depreciation – office furniture and equipment – June 2025,DPL010
Investment property fair value movement – Leeds depot – 2025,DPL020
REF-39717 – Cleaning contractor – Pinewood Ltd,DPL008
Regulatory fine – Pensions Regulator – 2023,DPL015
Postage and courier costs – Jun 2025,DPL054
Partial exemption VAT restriction – 2024,DPL036
Day-to-day operational admin expenses – Legal,DPL046
Staff entertainment – Aug 2026,DPL041
Technology licence fee – Global IP Holdings – December,DPL060
CGU impairment – Western Trading Ltd intangibles – 2025,DPL028
Licence fee income – Meridian PLC – 2026,DPL066
Finance EXPENSE – lease – IFRS 16 – February 2026,DPL057
Auto-enrolment pension contribution – January 2024,DPL052
INV-28617 – Crowe audit services FY2025,DPL003
Current account charges – Santander – March,DPL005
Fixed line rental – Talk Talk – 2026,DPL064
Intra-group interest INCOME – Eastern Region Ltd – October,DPL075
Sale of IT equipment – gain/(loss) – PO-72892,DPL022
PAYE payroll cost – Jan 2026,DPL068
Overseas travel – Jan 2025,DPL065
Off payroll contractor cost – AP-45122,DPL073
ERP system impairment write-down – SAP – 2023,DPL028
Gross wages – IT – January 2025,DPL068
Business transformation consulting – August 2023,DPL009
Flight booking – business trip – November 2023,DPL065
Intangible asset disposal gain – PO-43074,DPL021
Employee benefits expense – September 2024,DPL048
Data storage costs – Snowflake – June,DPL037
Group pension scheme payments – Jan 2024,DPL052
Finance lease RECEIVABLE interest INCOME – August 2025,DPL058
Development costs – Aurora product – 2026,DPL056
H&S training costs – January 2023,DPL025
Miscellaneous other cost – Sterling Group – Feb,DPL074
Loss on disposal of plant and machinery – April 2023,DPL022
Investment property uplift – AP-43842 – 2023,DPL020
UK Shared Prosperity Fund grant income – Jul 2023,DPL024
Mileage claim – AP-60107 – May,DPL065
Overseas withholding tax – January 2023,DPL031
Finance transformation advisory – PO-66423,DPL009
Loss on exit of European Division business – post-tax – 2024,DPL017
Mileage claim – REF-62099 – June,DPL065
Business entertainment – restaurant – INV-58758,DPL041
Discount unwind – dilapidation provision – May 2026,DPL067
Operational income adjustment – April 2023,DPL045
Environmental penalty – Environment Agency – February,DPL015
Tax due diligence – EY – 2023,DPL003
Unallocated expense – AP-17841,DPL074
Monthly depreciation charge – plant and machinery – February 2024,DPL010
Capital grant amortisation – Nov 2025,DPL024
FX loss on USD settlement – AP AP-62512,DPL043
Intangible asset disposal gain – JNL-33625,DPL021
R&D project costs – Orion – Jul 2025,DPL056
Political expenditure – SNP – 2024,DPL053
Intangible asset disposal gain – PO-62534,DPL021
Audit planning fees – Crowe – Mar,DPL003
Conveyancing fees – property transaction – 2023,DPL038
Manufacturing plant impairment – 2026,DPL029
INV-72936 – Facility repair costs – Northfield Services,DPL047
DB scheme deficit contribution – Sep 2023,DPL051
IT consultancy project fees – 2023,DPL009
Property fund valuation gain – Jun 2023,DPL020
Financial instrument MTM GAIN – cross-currency swap – May,DPL013
CJRS furlough grant received – Dec 2025,DPL071
Redundancy costs – Facilities – 2023,DPL059
Defined benefit pension scheme – service cost – Jul 2025,DPL051
Amortisation of software licence – Jul 2026,DPL002
Music royalty costs – Apr 2025,DPL060
IFRS 3 day-one bargain purchase gain – NewCo Ltd – 2024,DPL023
Release of restructuring provision – Nov 2025,DPL018
Occupational health service – April 2025,DPL025
IAS 29 hyperinflation adjustment – SGD functional currency – 2026,DPL026
Auto-enrolment pension contribution – Jul 2023,DPL052
Business insurance – Hiscox – April 2025,DPL033
Monthly depreciation charge – plant and machinery – May 2026,DPL010
Intangible asset disposal gain – INV-45094,DPL021
Release of restructuring provision – Apr 2023,DPL018
Hardware maintenance – Facilities servers,DPL037
Road haulage – Kuehne+Nagel – Aug,DPL016
External distribution commission – Redwood Partners,DPL012
Interest charged on Metro Bank overdraft – Sep,DPL035
Discount unwind on onerous contract provision – 2026,DPL067
CJRS claim – Marketing – April 2026,DPL071
Client entertainment – Jun 2026,DPL041
Investment property uplift – AP-82670 – 2025,DPL020
Foreign currency conversion fee – JP Morgan,DPL005
Interest charged on Santander overdraft – Jan,DPL035
Miscellaneous other cost – Elmwood Associates – Jul,DPL074
Rental property revaluation – Bristol office – 2025,DPL020
Loan note interest INCOME – 2026,DPL075
Moore Kingston Smith management consulting – Project Alpha project,DPL009
Loss on disposal of plant and machinery – December 2026,DPL022
Business insurance – RSA – April 2025,DPL033
Internal labour capitalised – Apollo project – Nov,DPL050
Contract drafting fees – Allen & Overy – Jul,DPL038
General repairs – Birmingham site – Feb 2023,DPL047
IAS 41 bearer plant fair value – Sep 2025,DPL019
Loss on disposal of plant and machinery – Jan 2026,DPL022
Intercompany loan written off – NewCo Ltd – 2023,DPL039
Non-bank finance CHARGE – Nov 2025,DPL057
Residual finance COSTS – Apr 2023,DPL057
Royalty payment to Portfolio IP Ltd – December 2026,DPL060
IAS 29 hyperinflation adjustment – JPY functional currency – 2023,DPL026
Subscriber list amortisation – 2026,DPL002
Outsourced payroll processing fees – May 2025,DPL049
Negative mark-to-market movement – equity option – 2026,DPL014
Google Ads campaign – Q4 2025 – IT,DPL001
Building security services – December 2025,DPL061
Dividend income from US Operations Inc – October 2023,DPL030
EXP-76417 – Security contractor – Lakeside Corp,DPL061
PPE impairment reversal – Cardiff branch – 2024,DPL029
Stationery purchase – Global Services Inc – 2026,DPL054
Machinery depreciation – Sales – February,DPL010
Contract drafting fees – DLA Piper – December,DPL038
Patent licence royalties – Dec,DPL060
Political lobbying contribution – 2024,DPL053
Finance CHARGE – lease liability – Sep 2024,DPL057
Deferred tax liability movement – 2025,DPL031
Equity investment write-down – European Division – January,DPL027
Political expenditure – Labour Party – 2026,DPL053
Management fee recharge from Treasury Centre Ltd – Jan 2026,DPL034
Trade receivable impairment charge – April 2024,DPL004
IT infrastructure costs – Oct 2025,DPL037
INV-56430 – Allianz – property insurance,DPL033
Security patrol costs – Manchester office – December,DPL061
Investment property uplift – REF-69514 – 2025,DPL020
Other finance INCOME – January 2023,DPL058
Software development costs amortised – February 2026,DPL002
Charitable giving – year end 2025,DPL007
One-off non-operating gain – Mar 2025,DPL044
Dividend income from LatAm Subsidiary – Sep 2025,DPL030
Property maintenance charge – Nottingham office,DPL047
One-off non-operating gain – Mar 2024,DPL044
Loss on disposal of plant and machinery – Dec 2024,DPL022
Online data subscription – Mergermarket – 2025,DPL063
Outsourced payroll processing fees – June 2025,DPL049
Agent commission – September 2024,DPL012
Related party loan interest CHARGED – 2023,DPL076
"Write-off of irrecoverable debt – EUR 59,749",DPL004
Travel reimbursement – employee expense claim – JNL-62235,DPL065
Non-bank interest INCOME receivable – July 2023,DPL075
RBS account maintenance fee – July,DPL005
CJRS claim – IT – Jul 2023,DPL071
Investment write-down – Northern Division shares – 2026,DPL027
Agent commission – July 2023,DPL012
PO-76456 – AXA – property insurance,DPL033
Profit on disposal of motor vehicle – EXP-60332,DPL022
Online data subscription – Dun & Bradstreet – 2026,DPL063
Consulting fee income – Titan Industries – INV-29429,DPL066
WIP inventory movement charge – 2025,DPL032
Investment property revaluation gain – December 2025,DPL020
Management consultancy fees – JNL-68681,DPL009
Contract drafting fees – Allen & Overy – April,DPL038
Team away day expense – Procurement – 2024,DPL041
Building security services – March 2026,DPL061
Business transformation consulting – Mar 2026,DPL009
CGU impairment – US Operations Inc intangibles – 2026,DPL028
Employee redundancy payments – September 2026,DPL059
PAYE payroll cost – Jun 2023,DPL068
Off payroll revenue – REF-62457 – 2025,DPL070
PO-33010 – Freight charges – Yodel,DPL016
Crowe management consulting – Horizon project,DPL009
INV-27507 – Legal advisory fees – CMS,DPL038
Overdraft interest charge – Halifax – January 2025,DPL035
R&D staff costs – Procurement – December,DPL056
Disposal of Southern Operations – after-tax gain – 2025,DPL017
PO-58952 – RSM audit services FY2024,DPL003
PR agency fees – November 2024,DPL001
Security patrol costs – Sheffield site – December,DPL061
Staff salaries – Sep 2023,DPL068
Prototype development expense – Cobalt – 2026,DPL056
Corporate legal services – acquisition support – Freshfields,DPL038
Loan receivable write-off – AP-53249,DPL039
Corporate mobile plan – R&D – Mar,DPL064
Listed equity dividend received – December 2024,DPL030
Bank service charges – Feb 2025,DPL005
HVAC system maintenance – Manchester office – 2026,DPL047
Unrealised GAIN on cross-currency swap – October 2024,DPL013
Management fee recharge from Shared Services Co – June 2023,DPL034
Professional services income – November 2024,DPL066
Contract drafting fees – Norton Rose Fulbright – Jun,DPL038
Intangible asset disposal gain – PO-84377,DPL021
Corporate mobile plan – Procurement – July,DPL064
Building security services – July 2024,DPL061
Fair value movement – investment property – 2023,DPL020
Expense capitalised to work in progress – Jan 2024,DPL042
Flight booking – business trip – Sep 2024,DPL065
Domain name sale proceeds – 2023,DPL021
Hedging instrument LOSS – equity option – 2025,DPL014
Bank interest debit – revolving credit facility – Nov,DPL035
Bargain purchase gain on NewCo Ltd acquisition – 2024,DPL023
Finance transformation advisory – JNL-29509,DPL009
Development costs – Project Alpha product – 2023,DPL056
Legal provision released – EXP-83101,DPL018
INV-51477 – Digital marketing services,DPL001
Third party sales commission – INV-94851,DPL012
Operating income – reimbursement received – PO-53588,DPL045
Dividend income from JV Entity – August 2024,DPL030
Bonded warehouse charges – January,DPL069
CJRS furlough grant received – Nov 2025,DPL071
Non-bank finance CHARGE – August 2024,DPL057
Present value unwinding – dilapidation provision – June 2023,DPL067
Listed equity dividend received – Jan 2025,DPL030
Defined benefit pension scheme – service cost – September 2023,DPL051
Share award charge – Sales – 2026,DPL062
Other charges – unspecified – AP-42053,DPL074
Restructuring advisory fees – EY – 2025,DPL059
Internal resources capitalised – Project Zeta – Aug 2026,DPL050
In-specie transfer of REIT to shareholders – 2026,DPL040
Sale of IT equipment – gain/(loss) – AP-72311,DPL022
Back-office administration costs – September 2026,DPL046
Auto-enrolment pension contribution – Dec 2025,DPL052
Road haulage – Kuehne+Nagel – Jul,DPL016
Revenue cost reclassified to capital – REF-62626,DPL042
Gain on disposal of Eastern Region Ltd – discontinued operations – 2024,DPL017
Bank interest credited – Nov 2024,DPL006
Impairment – capitalised software – 2026,DPL028
Business disposal gain after income tax – 2024,DPL017
Greenhouse gas reporting costs – 2024,DPL011
IAS 41 bearer plant fair value – November 2023,DPL019
Non-compete agreement amortisation – 2026,DPL002
Rail travel – Procurement staff – April,DPL065
Expected credit loss provision – Feb,DPL004
Shared services cost recharge – R&D – 2023,DPL034
Consulting fee income – Halcyon Partners – REF-82648,DPL066
Carbon offset purchase – September 2023,DPL011
REF-41716 – Freight charges – Ceva Logistics,DPL016
Interest charged on Standard Chartered overdraft – February,DPL035
SWIFT transfer charges – July,DPL005
Distribution of venture capital trust to equity holders – 2026,DPL040
Employer pension contribution – defined contribution – December,DPL052
Residual finance INCOME – April 2023,DPL058
Provision discount unwind – dilapidation provision – 2026,DPL067
PAYE payroll cost – Jul 2024,DPL068
PO-17830 – Legal advisory fees – Herbert Smith Freehills,DPL038
Ofcom late filing penalty – 2025,DPL015
Unclassified expenditure – Facilities – 2023,DPL074
PO-61708 – Security contractor – Apex Services,DPL061
Finance transformation advisory – PO-17881,DPL009
Dell Technologies cloud hosting – June subscription,DPL037
Miscellaneous other cost – Nexus Group – Jul,DPL074
VAT compliance services – August 2024,DPL003
IAS 40 annual fair value update – Nottingham office – 2026,DPL020
Vehicle repair costs – August,DPL047
