description,dpl_tag
CJRS furlough grant received – Apr 2024,DPL071
Risk assessment costs – Lakeside Corp,DPL025
Loss on disposal of plant and machinery – May 2026,DPL022
Staff costs transferred to capital project – January 2024,DPL050
Corporation tax return preparation fees – KPMG,DPL003
Fundraising event costs – Oxfam – Jan,DPL007
Taxi and car hire – Aug 2025,DPL065
Dairy herd biological asset revaluation – November 2023,DPL019
PPE disposal gain – office equipment – 2026,DPL022
Monthly depreciation charge – plant and machinery – Oct 2026,DPL010
Overseas withholding tax – Jun 2024,DPL031
Metro Bank current account interest income – April,DPL006
Annual subscription – Refinitiv – 2025,DPL063
Influencer marketing costs – January,DPL001
Revenue cost reclassified to capital – JNL-23497,DPL042
Poultry stock fair value adjustment – December,DPL019
Office supplies printing – JNL-25368,DPL054
Non-bank finance CHARGE – October 2025,DPL057
VAT blocked – business entertainment – April,DPL036
Monthly payroll – Nov 2025,DPL068
Amortisation – Aurora software – May 2023,DPL002
Overseas withholding tax – Jun 2025,DPL031
Sale of IT equipment – gain/(loss) – PO-59477,DPL022
IR35 worker engagement cost – February 2025,DPL073
Residual finance INCOME – May 2025,DPL058
Profit share from joint venture – 2026,DPL030
Scope 1 and 2 emissions audit costs – 2023,DPL011
Interest INCOME on inter-company balance – Jul 2023,DPL075
Machinery depreciation – Facilities – Mar,DPL010
IR35 deemed employment receipt – April,DPL070
Royalty payment to Creative Rights Ltd – Nov 2026,DPL060
Janitorial services – Mar 2025,DPL008
Treasury deposit interest – Apr 2024,DPL006
Amortisation of software licence – Feb 2024,DPL002
Trade mark licence payment – Portfolio IP Ltd – 2023,DPL060
Bank interest debit – revolving credit facility – October,DPL035
Cold storage facility costs – July,DPL069
Change in finished goods inventory – Feb 2026,DPL032
Monthly depreciation charge – plant and machinery – July 2026,DPL010
"Import freight costs – USD 29,391",DPL016
Team away day expense – Facilities – 2023,DPL041
"Retail, hospitality and leisure grant – COVID-19 – 2025",DPL072
Provision movement – warranty claims – 2023,DPL018
Brand promotion campaign – Horizon Partners,DPL001
Internal resources capitalised – Project Delta – July 2023,DPL050
Foreign exchange revaluation gain – Feb 2024,DPL043
Non-cash dividend – NewCo Ltd shares – 2024,DPL040
Warranty provision utilisation – February 2023,DPL018
Intangible asset disposal gain – AP-21377,DPL021
Unwinding of present value adjustment – legal claims provision – 2026,DPL067
Export grant credit – Catapult Innovation Fund,DPL024
Development cost capitalisation – Aug,DPL042
Intangible asset disposal gain – REF-46414,DPL021
Occupational health service – Sep 2024,DPL025
Residual finance INCOME – Aug 2025,DPL058
Royalty payment to IP Asset Management Ltd – October 2023,DPL060
Revenue cost reclassified to capital – REF-56742,DPL042
Facilities management outsourcing – Nexus Group,DPL049
Depreciation – office furniture and equipment – Nov 2025,DPL010
Corporate administration overhead – Finance – 2024,DPL046
Marketing agency retainer – Mar,DPL001
Inter-company loan interest INCOME – NewCo Ltd – 2024,DPL075
Gift aid donation to Red Cross,DPL007
Client dinner – Halcyon Partners – June,DPL041
Warehouse storage charges – September 2025,DPL069
Dairy herd biological asset revaluation – Jan 2023,DPL019
Actuarial valuation costs – pension scheme – 2024,DPL051
CJRS claim – Sales – February 2026,DPL071
Dividend income from Western Trading Ltd – Sep 2025,DPL030
Catch-all cost allocation – February 2024,DPL074
Miscellaneous other cost – Redwood Partners – Sep,DPL074
Dividend income from NewCo Ltd – March 2023,DPL030
Service fee income – Corinthian Ltd – Dec,DPL045
Tax due diligence – PwC – 2026,DPL003
Goodwill impairment charge – JV Entity CGU – 2025,DPL028
Employer pension contribution – defined contribution – Sep,DPL052
Distribution of REIT to equity holders – 2023,DPL040
Intangible asset disposal gain – JNL-25119,DPL021
Residual finance INCOME – Apr 2024,DPL058
Office rent – Bristol office – April 2026,DPL055
Unallocated expense – AP-37655,DPL074
CJRS furlough grant received – March 2025,DPL071
Outsourced HR services – Jul 2023,DPL049
Promotional materials and giveaways – Q3,DPL001
Tax provision adjustment – Mar 2026,DPL031
Stock build – seasonal demand – Aug,DPL032
Warranty provision utilisation – February 2026,DPL018
Goodwill write-down – Western Trading Ltd CGU – 2024,DPL028
Stationery purchase – Lakeside Corp – 2025,DPL054
Monthly payroll – June 2024,DPL068
Technology intangible impairment – 2023,DPL028
IAS 36 PPE impairment – Manchester office – 2025,DPL029
Licence fee for use of licensed technology – 2025,DPL060
Annual subscription – Reuters – 2024,DPL063
Admin services overhead – Lakeside Corp – 2026,DPL046
Other unclassified cost – April,DPL074
Client dinner – Acme Corp – April,DPL041
Subordinated loan interest PAYABLE – 2025,DPL076
Overseas withholding tax – Jul 2024,DPL031
Expense capitalised to work in progress – May 2023,DPL042
Non-bank interest RECEIVABLE – Holdco Ltd – 2025,DPL075
Fair value loss on investment property – 2023,DPL020
Tax due diligence – BDO – 2023,DPL003
Bank service charges – Jun 2025,DPL005
JNL-14785 – Moore Kingston Smith audit services FY2024,DPL003
Intercompany loan written off – US Operations Inc – 2023,DPL039
Facilities cleaning – Nottingham office – November,DPL008
Agent commission – December 2026,DPL012
IAS 29 indexation gain – November 2026,DPL026
Software subscription – Cisco – September 2025,DPL063
Product liability insurance – Chubb – 2023,DPL033
Group finance function recharge – February 2026,DPL034
Deep clean – London HQ – April,DPL008
Office supplies and administration costs – December 2026,DPL046
Donation disclosed under CA 2006 – Labour Party – 2025,DPL053
Contract penalty charge – JNL-24712,DPL015
Catch-all cost allocation – November 2025,DPL074
Monthly payroll – April 2024,DPL068
Equity investment write-down – LatAm Subsidiary – June,DPL027
Other finance INCOME – Jul 2023,DPL058
Residential investment property fair value loss – 2026,DPL020
Bank interest debit – revolving credit facility – Feb,DPL035
Workplace pension – February 2025,DPL052
Staff medical benefit – Aug,DPL048
Manned guarding services – May 2026,DPL061
Server hardware impairment – Google Cloud – 2024,DPL029
EXP-85796 – Broadband and telephony – Talk Talk,DPL064
Director loan impairment charge – 2023,DPL039
Building repairs and maintenance – Sep 2023,DPL047
REF-10817 – Mazars audit services FY2024,DPL003
Finance EXPENSE – lease – IFRS 16 – Apr 2026,DPL057
Interest PAYABLE on related party loan – October,DPL076
Goodwill write-down – Asia Pacific Holdco CGU – 2026,DPL028
Loan written off – Asia Pacific Holdco – 2024,DPL039
In-specie transfer of venture capital trust to shareholders – 2025,DPL040
DB pension current service charge – 2023,DPL051
Google Ads campaign – Q3 2024 – HR,DPL001
Pension scheme contribution – defined benefit – January,DPL051
Political party subscription – SNP – 2026,DPL053
Loan written off – Northern Division – 2024,DPL039
PPE impairment reversal – Liverpool depot – 2026,DPL029
Gift aid donation to Save the Children,DPL007
Loan written off – US Operations Inc – 2025,DPL039
Realised foreign exchange loss – EXP-54730,DPL043
RSU vesting expense – Feb 2024,DPL062
Employee redundancy payments – June 2024,DPL059
Input VAT – non-deductible – Sep 2025,DPL036
Bank interest debit – revolving credit facility – April,DPL035
Defined benefit pension scheme – service cost – Nov 2025,DPL051
Loss on disposal of plant and machinery – March 2023,DPL022
Software development costs amortised – October 2023,DPL002
IAS 29 hyperinflation adjustment – USD functional currency – 2026,DPL026
Discount unwind – long-term provision – 2024,DPL067
IP royalty – REF-97503 – 2023,DPL060
Fundraising event costs – Barnardo's – Mar,DPL007
Time value of money charge – environmental remediation provision – 2024,DPL067
Service fee income – Sterling PLC – Aug,DPL045
JNL-48967 – Chubb – property insurance,DPL033
General repairs – Sheffield site – Dec 2026,DPL047
Monthly depreciation charge – plant and machinery – February 2026,DPL010
Royalty payment to Global IP Holdings – Nov 2024,DPL060
PAYE payroll cost – Oct 2023,DPL068
Non-business VAT apportionment – 2024,DPL036
Sporting event hospitality – Dec 2024,DPL041
Professional body membership – Apr 2025,DPL063
Interest on HSBC term loan – 2026,DPL035
Non-bank interest INCOME receivable – April 2023,DPL075
Preference share dividend treated as finance COST – 2023,DPL057
PO-94403 – Cleaning contractor – Redwood Partners,DPL008
Annual ERP maintenance fee – Oracle,DPL037
Restart grant received – October 2024,DPL072
SaaS subscription – AWS – July 2024,DPL037
Legal provision released – PO-70371,DPL018
HMRC late filing penalty – 2025,DPL015
Trade receivable impairment charge – September 2025,DPL004
Office supplies printing – REF-79875,DPL054
Office supplies printing – AP-23853,DPL054
Late payment penalty – AP-70039,DPL015
Overseas travel – Oct 2026,DPL065
Wells Fargo current account interest income – August,DPL006
Negative goodwill released – Holdco Ltd acquisition – 2023,DPL023
IT infrastructure costs – Oct 2025,DPL037
Dividend income from Eastern Region Ltd – Aug 2024,DPL030
Group overhead recharge – Treasury Centre Ltd – Oct,DPL034
Operational consultancy – Sterling Group – Apr,DPL009
Investment write-down – NewCo Ltd shares – 2026,DPL027
Introducer fee – Apex Services – 2023,DPL012
Dividend income from LatAm Subsidiary – Apr 2025,DPL030
IT support recharge from parent – Mar,DPL034
R&D project costs – Sapphire – Dec 2024,DPL056
Other finance INCOME – November 2024,DPL058
Restructuring advisory fees – Deloitte – 2026,DPL059
REIT fair value INCREASE – Mar 2026,DPL013
Sales revenue – January 2025,DPL066
Goodwill impairment charge – European Division CGU – 2026,DPL028
Document printing and binding costs – Jun,DPL054
IFRIC 17 non-cash asset distribution – 2024,DPL040
Internal resources capitalised – Aurora – Jan 2024,DPL050
Capital grant amortisation – February 2026,DPL024
IP royalty – EXP-92307 – 2024,DPL060
Manned guarding services – December 2023,DPL061
Stationery purchase – Global Services Inc – 2025,DPL054
Annual subscription – Dun & Bradstreet – 2026,DPL063
AP-42070 – Third party storage – Agility,DPL069
Monthly depreciation charge – plant and machinery – February 2023,DPL010
Back-office administration costs – March 2024,DPL046
Tax provision adjustment – June 2023,DPL031
Team away day expense – IT – 2025,DPL041
Share option expense – IFRS 2 charge – July 2023,DPL062
Interest on term deposit – Deutsche Bank – Feb,DPL006
Non-recoverable VAT charge – July 2026,DPL036
Other unclassified cost – Jul,DPL074
Employee payroll processing – Jun,DPL068
Trade receivable impairment charge – Nov 2025,DPL004
Business insurance – Travelers – December 2026,DPL033
CJRS claim – HR – Jan 2025,DPL071
Goodwill impairment charge – Holdco Ltd CGU – 2026,DPL028
IFRS 5 held-for-sale disposal gain – Eastern Region Ltd – 2026,DPL017
Investment portfolio FVTPL GAIN – June 2024,DPL013
Defined benefit pension scheme – service cost – April 2023,DPL051
Impairment of investment in Holdco Ltd – 2024,DPL027
Payroll run – Oct 2026 – Operations,DPL068
PAYE payroll cost – Sep 2023,DPL068
Off payroll working costs – Sales – November,DPL073
Monthly depreciation charge – plant and machinery – Jan 2023,DPL010
Non-bank finance CHARGES – Holdco Ltd – 2023,DPL076
Overseas withholding tax – Sep 2023,DPL031
Investment property revaluation gain – September 2024,DPL020
Professional body membership – August 2024,DPL063
Restructuring advisory fees – Crowe – 2023,DPL059
Capital grant amortisation – Jun 2024,DPL024
Employers liability insurance – 2025,DPL033
Group overhead recharge – Group HQ Ltd – February,DPL034
Intangible asset disposal gain – EXP-15452,DPL021
Inter-company interest PAYABLE – Eastern Region Ltd – 2026,DPL076
Off payroll worker fees – IR35 – Jan 2026,DPL070
Construction in progress impairment – 2025,DPL029
Staff entertainment – February 2025,DPL041
Software impairment loss – Google Cloud – 2026,DPL028
Profit share from joint venture – 2023,DPL030
Warehouse storage charges – Sep 2025,DPL069
JNL-74780 – Legal advisory fees – Norton Rose Fulbright,DPL038
Donation disclosed under CA 2006 – Liberal Democrats – 2023,DPL053
Non-cash dividend – European Division shares – 2024,DPL040
Property fund valuation gain – Jul 2023,DPL020
Debt impairment loss – Sterling Group,DPL004
Enterprise Development Grant grant income – Aug 2025,DPL024
Software licence renewal – HR – 2023,DPL037
First aid training – staff – August,DPL025
Non-bank interest CHARGE payable – June 2023,DPL076
Unallocated expense – PO-40561,DPL074
Pension scheme contribution – defined benefit – Dec,DPL051
Residual finance INCOME credited – Feb 2023,DPL058
Business transformation consulting – Mar 2025,DPL009
EY management consulting – Sapphire project,DPL009
Risk assessment costs – Prime Solutions,DPL025
INV-24993 – Third party storage – XPO Logistics,DPL069
Hotel accommodation – client visit – March,DPL065
REF-68507 – Crowe audit services FY2024,DPL003
Warehouse lease payment – Dec 2025,DPL055
JNL-64330 – Digital marketing services,DPL001
Irrecoverable VAT on entertainment – March,DPL036
Off payroll worker fees – IR35 – August 2025,DPL070
PO-62581 – Cleaning contractor – Northfield Services,DPL008
H&S training costs – October 2026,DPL025
Property fund valuation gain – April 2025,DPL020
Employee redundancy payments – Jan 2024,DPL059
Professional services income – Aug 2024,DPL066
JNL-66471 – IT support contract – Oracle,DPL037
Business rates – Sheffield site – Q4 2023,DPL055
Agent commission – Jun 2023,DPL012
Director loan impairment charge – 2024,DPL039
Gain on derecognition – discontinued operations – NewCo Ltd – 2026,DPL017
Off payroll worker fees – IR35 – October 2023,DPL070
H&S training costs – January 2024,DPL025
Bank service charges – Sep 2023,DPL005
Political party contribution – 2026,DPL053
JNL-45957 – AXA – property insurance,DPL033
Broker commission expense – March,DPL012
Own work capitalised – software development – 2025,DPL050
Financial instrument MTM GAIN – interest rate swap – June,DPL013
VAT compliance services – November 2026,DPL003
Intangible asset disposal gain – EXP-60224,DPL021
Discount unwind on onerous contract provision – 2024,DPL067
Finance transformation advisory – AP-72083,DPL009
Occupational health service – Jan 2024,DPL025
Running costs – operational administration – Jun,DPL046
CJRS furlough grant received – Jun 2025,DPL071
Investment income – minority shareholding – April,DPL030
EXP-66013 – Service income – Corinthian Ltd,DPL066
Time value unwinding – long-term liability – 2023,DPL067
Tax advisory fees – Crowe,DPL003
Non-bank interest INCOME receivable – Nov 2026,DPL075
Poultry stock fair value adjustment – Jan,DPL019
REF-11940 – Government grant received – Innovate UK,DPL024
Bad debt write-off – customer REF-98290,DPL004
Horizon Europe funding grant income – Nov 2024,DPL024
Income from ancillary activities – 2026,DPL045
Negative mark-to-market movement – credit default swap – 2026,DPL014
Treasury deposit interest – Nov 2026,DPL006
Bank interest debit – revolving credit facility – Sep,DPL035
Restart grant received – May 2024,DPL072
H&S training costs – Sep 2023,DPL025
Print room costs – Edinburgh branch – 2025,DPL054
Property impairment charge – London HQ – 2025,DPL029
Occupational health service – October 2026,DPL025
Fundraising event costs – Comic Relief – June,DPL007
Office closure costs – Cardiff branch – 2025,DPL059
Depreciation – office furniture and equipment – Jul 2023,DPL010
Outsourced IT support – June 2026,DPL049
Business process outsourcing charge – 2024,DPL049
Capitalised internal engineering costs – March,DPL050
Occupational health service – Jul 2023,DPL025
Professional body membership – September 2025,DPL063
Non-trading gain before tax – Dec 2024,DPL044
Depreciation – office furniture and equipment – Apr 2025,DPL010
Catch-all cost allocation – Sep 2023,DPL074
IR35 deemed employee cost – REF-46952 – 2024,DPL073
Management fee recharge from Group Services Ltd – Nov 2026,DPL034
Bank interest credited – February 2023,DPL006
Non-cash asset distribution declared – 2023,DPL040
Internal resources capitalised – Project Zeta – Mar 2024,DPL050
CCTV maintenance and monitoring – Sheffield site,DPL061
Bonded warehouse charges – Sep,DPL069
Work in progress movement – July 2025,DPL032
Back-office administration costs – May 2025,DPL046
Carbon offset purchase – Mar 2025,DPL011
Off payroll working costs – Facilities – August,DPL073
Currency translation loss on EUR balances – April,DPL043
Warehouse lease payment – July 2026,DPL055
Finance EXPENSE – lease – IFRS 16 – May 2023,DPL057
Intangible asset disposal gain – AP-61640,DPL021
CJRS claim – Procurement – Jan 2026,DPL071
Sale of IT equipment – gain/(loss) – AP-96631,DPL022
Running costs – operational administration – January,DPL046
Deep clean – Nottingham office – Jun,DPL008
Occupational health service – August 2023,DPL025
Business rates – Edinburgh branch – Q2 2023,DPL055
Overseas withholding tax – October 2025,DPL031
First aid training – staff – July,DPL025
Waste management and recycling costs – Cardiff branch – 2025,DPL011
JNL-47286 – RSA – property insurance,DPL033
Intangible asset disposal gain – EXP-78915,DPL021
Environmental impact assessment – ABC Ltd – 2024,DPL011
Export Development Grant grant income – Apr 2025,DPL024
IP legal costs – Herbert Smith Freehills – November 2023,DPL038
Hedging instrument LOSS – currency option – 2023,DPL014
Bank interest debit – revolving credit facility – Nov,DPL035
Asset impairment reversal – PPE – 2026,DPL029
Rent review uplift – Edinburgh branch – 2025,DPL055
Monthly depreciation charge – plant and machinery – April 2024,DPL010
DB scheme deficit contribution – Mar 2025,DPL051
Contract penalty charge – INV-11177,DPL015
Internal labour capitalised – Horizon project – April,DPL050
Restructuring advisory fees – Deloitte – 2023,DPL059
Provision discount unwind – legal claims provision – 2023,DPL067
R&D staff costs – Finance – December,DPL056
Contract drafting fees – Freshfields – Nov,DPL038
Pallet storage fees – Agility – 2026,DPL069
CCTV maintenance and monitoring – Bristol office,DPL061
Input VAT – non-deductible – February 2024,DPL036
Bad debt write-off – customer INV-71982,DPL004
Dividend income from NewCo Ltd – October 2023,DPL030
Disposal proceeds less carrying value – LatAm Subsidiary – 2026,DPL017
Current account charges – Citibank – Dec,DPL005
Plant and equipment maintenance – December,DPL047
Revenue cost reclassified to capital – PO-51049,DPL042
Internal resources capitalised – Nexus – March 2025,DPL050
Intangible asset impairment reversal – 2024,DPL028
PO-47245 – R&D materials and testing,DPL056
Currency translation loss on EUR balances – September,DPL043
Unrealised GAIN on interest rate swap – Jan 2024,DPL013
Patent licence royalties – Aug,DPL060
Outsourced HR services – April 2026,DPL049
Client dinner – Vanguard Ltd – December,DPL041
Expense capitalised to work in progress – August 2025,DPL042
Online data subscription – Bloomberg – 2023,DPL063
Overdraft interest charge – Nationwide – Jun 2026,DPL035
Deemed employment income – IR35 – Sep 2024,DPL070
JNL-47752 – Facility repair costs – Prime Solutions,DPL047
R&D subcontractor costs – Elmwood Associates,DPL056
Fixed line rental – Virgin Media – 2023,DPL064
Non-bank interest INCOME receivable – February 2024,DPL075
Franking machine and postage – October,DPL054
Admin services overhead – Pinewood Ltd – 2025,DPL046
AP-36065 – Government grant received – Horizon Europe funding,DPL024
Loan interest expense – term facility – 2025,DPL035
Sales revenue – March 2024,DPL066
Off payroll contractor cost – REF-11080,DPL073
Facilities cleaning – Leeds depot – Jun,DPL008
Loan receivable write-off – PO-72177,DPL039
Release of restructuring provision – August 2024,DPL018
Group pension scheme payments – April 2025,DPL052
Unrealised FX gain – balance sheet revaluation – Feb,DPL043
Loan receivable write-off – EXP-96897,DPL039
Equity investment write-down – Western Trading Ltd – January,DPL027
Revenue cost reclassified to capital – AP-79611,DPL042
Auto-enrolment pension contribution – November 2025,DPL052
Cold storage facility costs – Nov,DPL069
Other finance INCOME – Dec 2023,DPL058
Intra-group interest INCOME – Asia Pacific Holdco – April,DPL075
IAS 37 time value of money – provision – 2026,DPL067
Business insurance – Allianz – Jul 2023,DPL033
R&D subcontractor costs – Horizon Partners,DPL056
FVTPL asset revaluation LOSS – infrastructure fund – 2025,DPL014
Social media advertising spend – October 2025,DPL001
Gross wages – Finance – Oct 2023,DPL068
In-specie dividend – property distribution – 2025,DPL040
Intercompany loan written off – Asia Pacific Holdco – 2026,DPL039
CJRS claim – Facilities – November 2025,DPL071
Late payment penalty – PO-84012,DPL015
CA 2006 s.366 political donation – Conservative Party – 2026,DPL053
Technology licence fee – Global IP Holdings – Dec,DPL060
Bad debt write-off – customer PO-10287,DPL004
One-off non-operating gain – February 2025,DPL044
Non-trading gain before tax – October 2026,DPL044
Management fee recharge from Group Finance Ltd – Oct 2026,DPL034
Tax advisory fees – KPMG,DPL003
Recruitment fees – HR – 2024,DPL048
Monthly payroll – Jun 2026,DPL068
Change in finished goods inventory – Jun 2024,DPL032
Asset impairment charge – Facilities equipment – 2024,DPL029
Recruitment fees – R&D – 2025,DPL048
Online data subscription – Reuters – 2023,DPL063
Foreign exchange revaluation gain – Mar 2026,DPL043
Self-storage unit rental – 2025,DPL069
Bonus payroll – Operations – 2026,DPL068
Negative goodwill released – JV Entity acquisition – 2023,DPL023
Fundraising event costs – Macmillan Cancer Support – Feb,DPL007
H&S training costs – Jan 2023,DPL025
REF-37407 – R&D materials and testing,DPL056
Cyber security licence and services – 2024,DPL061
Auto-enrolment pension contribution – Oct 2026,DPL052
Currency translation loss on EUR balances – Jul,DPL043
Overseas withholding tax – Jan 2026,DPL031
Dividend income from European Division – July 2023,DPL030
Change in finished goods inventory – Oct 2026,DPL032
Capitalised internal engineering costs – Sep,DPL050
JNL-95681 – Freight charges – UPS,DPL016
Introducer fee – ABC Ltd – 2024,DPL012
Monthly depreciation charge – plant and machinery – Oct 2025,DPL010
Listed equity dividend received – Sep 2023,DPL030
General repairs – Manchester office – July 2026,DPL047
Courier and express delivery – Feb 2025,DPL016
Inter-company interest PAYABLE – Eastern Region Ltd – 2025,DPL076
Oracle cloud hosting – November subscription,DPL037
Capital grant amortisation – June 2023,DPL024
PAYE payroll cost – Jul 2025,DPL068
Political party donation – Green Party – 2026,DPL053
Political expenditure – Labour Party – 2026,DPL053
Foreign exchange revaluation gain – Oct 2023,DPL043
Internal resources capitalised – Vertex – October 2025,DPL050
Inter-company management charge – AP-27469,DPL034
IR35 worker engagement cost – Nov 2024,DPL073
Broiler chicken stock fair value – September,DPL019
Franchise intangible impairment charge – 2026,DPL028
Training and development – Legal – 2023,DPL048
IAS 41 bearer plant fair value – February 2023,DPL019
EXP-43868 – Broadband and telephony – Twilio,DPL064
Subscription revenue – Apr 2024,DPL066
Share option expense – IFRS 2 charge – Apr 2024,DPL062
Inter-company interest RECEIVABLE – Eastern Region Ltd – 2023,DPL075
Salaries and wages expense – Facilities,DPL068
REF-61505 – Government grant received – UKRI grant,DPL024
Intangible asset amortisation – Facilities system – 2025,DPL002
Party membership and political donation – 2025,DPL053
Preference share dividend treated as finance COST – 2026,DPL057
Corporate mobile plan – Operations – August,DPL064
PV unwinding – restructuring provision – 2024,DPL067
hedge fund fair value DECREASE – July 2024,DPL014
Distribution in kind – Asia Pacific Holdco equity – 2026,DPL040
Trade show and exhibition expenses – 2025,DPL001
General repairs – Bristol office – June 2025,DPL047
PO-11062 – Legal advisory fees – Eversheds Sutherland,DPL038
Outbound shipping costs – March,DPL016
Business entertainment – restaurant – EXP-62415,DPL041
Hedging instrument GAIN – cross-currency swap – 2024,DPL013
Taxi and car hire – August 2024,DPL065
Revenue cost reclassified to capital – AP-63667,DPL042
R&D project costs – Horizon – January 2023,DPL056
Redundancy costs – R&D – 2024,DPL059
Service charge – Bristol office – Apr,DPL055
Warranty provision utilisation – Oct 2025,DPL018
In-specie transfer of private equity fund to shareholders – 2026,DPL040
Building repairs and maintenance – February 2026,DPL047
Listed equity dividend received – October 2024,DPL030
Pallet storage fees – XPO Logistics – 2025,DPL069
Software development costs amortised – July 2026,DPL002
Third party sales commission – INV-10045,DPL012
Pandemic business interruption grant – 2026,DPL072
General repairs – Leeds depot – Apr 2026,DPL047
Non-bank finance CHARGES – Western Trading Ltd – 2026,DPL076
Carbon credit purchase – December 2025,DPL011
Sale of US Operations Inc business unit – post-tax gain – 2024,DPL017
One-off non-operating gain – January 2023,DPL044
Equity investment write-down – Eastern Region Ltd – Jun,DPL027
Spin-off distribution of US Operations Inc shares – 2024,DPL040
Investment write-down – Asia Pacific Holdco shares – 2025,DPL027
IP legal costs – Herbert Smith Freehills – Oct 2023,DPL038
Intercompany loan written off – European Division – 2023,DPL039
Trade mark licence payment – Brand Owners PLC – 2023,DPL060
Sale of IT equipment – gain/(loss) – EXP-33967,DPL022
Music royalty costs – Dec 2024,DPL060
AP-49729 – IT support contract – Salesforce,DPL037
Internal labour capitalised – Falcon project – Jan,DPL050
Annual subscription – Xero – 2024,DPL063
Badwill credit – Southern Operations acquisition – 2024,DPL023
Employee benefits expense – June 2023,DPL048
Bonded warehouse charges – June,DPL069
Rent review uplift – Reading HQ – 2024,DPL055
Overseas withholding tax – Feb 2023,DPL031
Operational and admin overhead allocation – Sales,DPL046
DB scheme deficit contribution – March 2023,DPL051
Off payroll revenue – PO-84604 – 2026,DPL070
Amortisation – distribution rights – 2026,DPL002
Listed equity dividend received – Apr 2023,DPL030
Equity investment write-down – Subsidiary A – October,DPL027
Depreciation – office furniture and equipment – August 2023,DPL010
Investment property fair value movement – Reading HQ – 2025,DPL020
Business rates – Reading HQ – Q1 2026,DPL055
Decommissioning provision re-measurement – 2026,DPL018
Negative goodwill released – Subsidiary A acquisition – 2024,DPL023
Transaction processing fees – HSBC,DPL005
INV-52620 – Broadband and telephony – EE,DPL064
TV and radio campaign production costs – 2025,DPL001
Influencer marketing costs – September,DPL001
Day-to-day operational admin expenses – Facilities,DPL046
Property maintenance charge – Reading HQ,DPL047
Machinery depreciation – HR – May,DPL010
Business transformation consulting – Nov 2025,DPL009
DB scheme deficit contribution – May 2026,DPL051
Introducer fee – Pinewood Ltd – 2023,DPL012
Outsourced payroll processing fees – Sep 2025,DPL049
AP-12428 – Broadband and telephony – Sky Business,DPL064
Dividend income from Subsidiary A – August 2023,DPL030
Loan receivable write-off – REF-64211,DPL039
Profit on disposal of motor vehicle – PO-70157,DPL022
Off payroll worker fees – IR35 – Dec 2026,DPL070
JNL-82232 – Broadband and telephony – BT,DPL064
Flight booking – business trip – Jan 2023,DPL065
Pandemic business interruption grant – 2023,DPL072
Investment property revaluation gain – August 2026,DPL020
Pallet storage fees – UPS – 2023,DPL069
Overseas withholding tax – August 2024,DPL031
Negative goodwill released – Southern Operations acquisition – 2023,DPL023
Foreign exchange revaluation gain – Apr 2024,DPL043
Inter-company management charge – JNL-83358,DPL034
Business entertainment – restaurant – REF-46974,DPL041
CJRS furlough grant received – October 2026,DPL071
Input VAT – non-deductible – May 2024,DPL036
Manned guarding services – June 2025,DPL061
CJRS furlough grant received – Feb 2023,DPL071
Annual subscription – Sage – 2026,DPL063
One-off non-operating gain – November 2023,DPL044
After-tax loss on sale of Eastern Region Ltd – 2024,DPL017
PO-88137 – R&D materials and testing,DPL056
VAT compliance services – December 2026,DPL003
General repairs – Cardiff branch – June 2024,DPL047
Sale of IT equipment – gain/(loss) – AP-75465,DPL022
Non-cash dividend – Eastern Region Ltd shares – 2025,DPL040
Capitalised internal engineering costs – November,DPL050
Security patrol costs – Sheffield site – December,DPL061
Overseas travel – Sep 2025,DPL065
IR35 deemed employment receipt – October,DPL070
Tax due diligence – RSM – 2023,DPL003
Expenditure transferred to Project Zeta project balance sheet,DPL042
REF-42793 – Chubb – property insurance,DPL033
Introducer fee – Summit Consulting – 2025,DPL012
Non-bank interest RECEIVABLE – Subsidiary A – 2026,DPL075
VAT compliance services – March 2026,DPL003
"Write-off of irrecoverable debt – JPY 814,788",DPL004
Intangible asset impairment reversal – 2026,DPL028
Poultry stock fair value adjustment – February,DPL019
Senior secured loan interest – Jul,DPL035
Trade receivable impairment charge – Feb 2024,DPL004
Interest RECEIVED on shareholder loan – October 2023,DPL075
Recruitment fees – Finance – 2023,DPL048
Bad debt expense – overdue receivable PO-26091,DPL004
Sale of IT equipment – gain/(loss) – EXP-70082,DPL022
IFRS 3 day-one bargain purchase gain – Asia Pacific Holdco – 2023,DPL023
International call charges – May,DPL064
Fixed line rental – O2 – 2026,DPL064
Coronavirus job retention scheme income – 2025,DPL071
Other finance INCOME – January 2024,DPL058
Revenue cost reclassified to capital – INV-55665,DPL042
PO-72139 – Legal advisory fees – Slaughter and May,DPL038
IT infrastructure costs – June 2026,DPL037
R&D project costs – Project Delta – Oct 2023,DPL056
Business transformation consulting – Aug 2024,DPL009
Annual ERP maintenance fee – VMware,DPL037
Acquired net assets exceed purchase price – 2026,DPL023
Residual finance INCOME credited – Jan 2023,DPL058
VAT compliance services – February 2023,DPL003
Export grant credit – Horizon Europe funding,DPL024
Introducer fee – Elmwood Associates – 2025,DPL012
External distribution commission – Prime Solutions,DPL012
FX loss on USD settlement – AP AP-32330,DPL043
Printing and stationery – Sales – Nov 2026,DPL054
Business rates – Birmingham site – Q2 2023,DPL055
Conveyancing fees – property transaction – 2026,DPL038
CJRS claim – Facilities – Jun 2025,DPL071
Fixed line rental – Twilio – 2025,DPL064
International call charges – Jul,DPL064
